NAME,BOARD,TYPE,NAME_AB,ADDRESS_AB,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,PROVINCIAL_CODE_NUM,ECS,ELEM,JUNIOR_H,SENIOR_H,PROCESS_DT,POSTAL_COD,STRUCTURE_ID,longitude,latitude,location
Notre Dame High,The Calgary Roman Catholic Separate School Division,Separate School,Notre Dame High School,11900 Country Village Link NE,Calgary,AB,Senior High,N,Provincial Data,1275,N,N,N,Y,2/28/2021,T3K6E4,1383527,-114.065834,51.15765941,"(51.157659409280406, -114.06583403972905)"
Lycee Louis Pasteur,Lycee Louis Pasteur Society,Private School,Lycee Louis Pasteur,4099 Garrison Blvd. S.W.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,9919,N,Y,Y,Y,2/28/2021,T2T6G2,1001606,-114.1144831,51.01764277,"(51.01764277053325, -114.11448312772814)"
Rosemont,The Calgary School Division,Public School,Rosemont School,19 Rosevale Drive N.W.,Calgary,AB,Elementary,N,Provincial Data,9231,N,Y,N,N,2/28/2021,T2K1N6,1000924,-114.0923733,51.07787121,"(51.077871214649115, -114.0923733016467)"
Marshall Springs,The Calgary School Division,Public School,Marshall Springs School,1100 Everridge Drive S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,2069,N,Y,Y,N,2/28/2021,T2Y4X5,2370193,-114.1123004,50.91144484,"(50.91144483804469, -114.11230037386002)"
Mount Royal,The Calgary School Division,Public School,Mount Royal School,2234 - 14 Street S.W.,Calgary,AB,Junior High,N,Provincial Data,9639,N,N,Y,N,2/28/2021,T2T3T3,1382526,-114.0939102,51.03472234,"(51.03472234343416, -114.09391017234952)"
Peter Lougheed,The Calgary School Division,Public School,Peter Lougheed School,148 Saddletree Close NE,Calgary,AB,Elementary/Junior High,N,Provincial Data,2068,N,Y,Y,N,2/28/2021,T3J5J1,2357896,-113.9556832,51.13066963,"(51.13066963155768, -113.9556832273144)"
King George,The Calgary School Division,Public School,King George School,2108 - 10 Street N.W.,Calgary,AB,Elementary,N,Provincial Data,9608,N,Y,N,N,2/28/2021,T2M3M4,1381140,-114.0840555,51.07089707,"(51.07089706824776, -114.08405552840081)"
Southwest Elementary Campus,Foundations for the Future Charter Academy Charter School Society,Charter,Southwest Elementary Campus,898 Sylvester Cres. SW,Calgary,AB,Elementary,N,Provincial Data,1352,N,Y,N,N,2/28/2021,T2W0R7,1382887,-114.0825466,50.95898072,"(50.95898072431419, -114.0825466024522)"
Jennie Elliott,The Calgary School Division,Public School,Jennie Elliott School,3031 Lindsay Drive S.W.,Calgary,AB,Elementary,N,Provincial Data,9103,N,Y,N,N,2/28/2021,T3E6A9,1382197,-114.1272286,50.99612956,"(50.996129562407425, -114.12722864308043)"
Renfrew Thomas W. Buchanan Centre,Renfrew Educational Services Society,Private School,Renfrew Thomas W. Buchanan Centre,2050 - 21 Street N.E.,Calgary,AB,Elementary,N,Provincial Data,250,N,Y,N,N,2/28/2021,T2X3V4,1370835,-114.0560057,50.9019437,"(50.901943699866905, -114.05600565954606)"
