NAME,BOARD,TYPE,NAME_AB,ADDRESS_AB,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,PROVINCIAL_CODE_NUM,ECS,ELEM,JUNIOR_H,SENIOR_H,PROCESS_DT,POSTAL_COD,STRUCTURE_ID,longitude,latitude,location
West Ridge,The Calgary School Division,Public School,West Ridge School,8903 Wentworth Avenue SW,Calgary,AB,Elementary/Junior High,N,Provincial Data,2087,N,Y,Y,N,2/28/2021,T3H5N9,2384637,-114.2142424,51.05848922,"(51.05848922422676, -114.21424236160475)"
St. Stephen,The Calgary Roman Catholic Separate School Division,Separate School,St. Stephen School,10910 Elbow Drive S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,8719,N,Y,Y,N,2/28/2021,T2W1G6,1382268,-114.0838525,50.95569541,"(50.95569541335409, -114.08385249036205)"
Kenneth D. Taylor,The Calgary School Division,Public School,Kenneth D. Taylor School,30 Evanscove Circle NW,Calgary,AB,Elementary,N,Provincial Data,2088,N,Y,N,N,2/28/2021,T3P0A1,2371314,-114.1178014,51.16509597,"(51.165095970776946, -114.11780138719229)"
Alex Ferguson,The Calgary School Division,Public School,Alex Ferguson School,1704 - 26 Street S.W.,Calgary,AB,Elementary,N,Provincial Data,9101,N,Y,N,N,2/28/2021,T3C1K5,1382818,-114.1229836,51.03936377,"(51.03936376742357, -114.12298360081277)"
Sir John A Macdonald,The Calgary School Division,Public School,Sir John A Macdonald School,6600 - 4 Street N.W.,Calgary,AB,Junior High,N,Provincial Data,9652,N,N,Y,N,2/28/2021,T2K1C2,1383509,-114.0700457,51.11147702,"(51.111477016264935, -114.07004566673658)"
Project Trust,The Calgary School Division,Public School,Project Trust,"#206, 315 10 avenue  S.E.",Calgary,AB,Senior High,N,Provincial Data,9599,N,N,N,Y,2/28/2021,T2M4P6,1141724,-114.0828403,51.07207022,"(51.07207021510708, -114.08284033402592)"
Colonel Sanders,The Calgary School Division,Public School,Colonel Sanders School,226 Northmount Drive N.W.,Calgary,AB,Elementary,N,Provincial Data,1053,N,Y,N,N,2/28/2021,T2K3G5,1383139,-114.0747704,51.09981373,"(51.09981372607247, -114.07477041533735)"
Monsignor J. J. O'Brien,The Calgary Roman Catholic Separate School Division,Separate School,Monsignor J. J. O'Brien,99 Bridlewood Road SW,Calgary,AB,Elementary/Junior High,N,Provincial Data,589,N,Y,Y,N,2/28/2021,T2Y4J5,1382188,-114.1038587,50.90156632,"(50.90156631764898, -114.10385874563634)"
Cambrian Heights,The Calgary School Division,Public School,Cambrian Heights School,640 Northmount Drive N.W.,Calgary,AB,Elementary,N,Provincial Data,9208,N,Y,N,N,2/28/2021,T2K3J5,1382294,-114.0879744,51.08535175,"(51.085351749105335, -114.08797438412913)"
St. Albert the Great,The Calgary Roman Catholic Separate School Division,Separate School,St. Albert the Great,225 Prestwick Ave SE,Calgary,AB,Elementary/Junior High,N,Provincial Data,1336,N,Y,Y,N,2/28/2021,T2Z3X3,1382579,-113.9600758,50.92150965,"(50.92150965182896, -113.96007584998752)"
Ernest Morrow,The Calgary School Division,Public School,Ernest Morrow School,1212 - 47 Street S.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9644,N,Y,Y,N,2/28/2021,T2A1R3,1382129,-113.9648387,51.04338456,"(51.04338455761498, -113.96483866624698)"
Stanley Jones,The Calgary School Division,Public School,Stanley Jones School,950 6th St. NE,Calgary,AB,Elementary/Junior High,N,Provincial Data,9233,N,Y,Y,N,2/28/2021,T2E8M3,1381145,-114.0477073,51.05990541,"(51.059905406243594, -114.04770729105564)"
Our Lady of the Rosary,The Calgary Roman Catholic Separate School Division,Separate School,Our Lady of the Rosary School,41 Cranston Gate SE,Calgary,AB,Elementary,N,Provincial Data,2081,N,Y,N,N,2/28/2021,T3M0W7,2390392,-113.9682061,50.87442918,"(50.87442918409296, -113.96820605888279)"
Balmoral,The Calgary School Division,Public School,Balmoral School,220 - 16 Avenue N.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9601,N,Y,Y,N,2/28/2021,T2M0H4,1381132,-114.0664802,51.06788182,"(51.06788182136437, -114.06648017184716)"
Alberta Chung Wah,Alberta Chung Wah School Society,Private School,Alberta Chung Wah School,"#270, 328 Centre Street S.E.",Calgary,AB,Senior High,N,Provincial Data,1020,N,N,N,Y,2/28/2021,T2G4X6,1005440,-114.0617383,51.04956496,"(51.04956496190062, -114.06173831297495)"
